sectorID,subsectorName
1,cropland-fires
1,enteric-fermentation
1,manure-management
1,other-agricultural-soil-emissions
1,rice-cultivation
1,synthetic-fertilizer-application
2,other-onsite-fuel-usage
2,residential-and-commercial-onsite-fuel-usage
3,fluorinated-gases
4,coal-mining
4,oil-and-gas-production-and-transport
4,oil-and-gas-refining
4,other-fossil-fuel-operations
4,solid-fuel-transformation
5,aluminum
5,cement
5,chemicals
5,other-manufacturing
5,pulp-and-paper
5,steel
6,bauxite-mining
6,copper-mining
6,iron-mining
6,rock-quarrying
6,sand-quarrying
7,electricity-generation
7,other-energy-use
8,biological-treatment-of-solid-waste-&-biogenic
8,incineration-and-open-burning-of-waste
8,solid-waste-disposal
8,wastewater-treatment-and-discharge
